12 66
0 1 8
0 2 16
0 3 6
0 4 23
0 5 8
0 6 10
0 7 26
0 8 19
0 9 13
0 10 30
0 11 7
1 0 23
1 2 26
1 3 5
1 4 5
1 5 8
1 6 24
1 7 13
1 8 25
1 9 25
1 10 9
1 11 11
2 0 11
2 1 13
2 3 26
2 4 26
2 5 9
2 6 30
2 7 5
2 8 20
2 9 17
2 10 30
2 11 14
3 0 24
3 1 7
3 2 27
3 4 30
3 5 7
3 6 26
3 7 10
3 8 22
3 9 15
3 10 20
3 11 20
4 0 15
4 1 24
4 2 19
4 3 6
4 5 21
4 6 24
4 7 6
4 8 29
4 9 24
4 10 12
4 11 14
5 0 30
5 1 7
5 2 21
5 3 28
5 4 20
5 6 30
5 7 27
5 8 28
5 9 25
5 10 29
5 11 18
6 0 26
6 1 14
6 2 7
6 3 7
6 4 21
6 5 6
6 7 15
6 8 6
6 9 18
6 10 16
6 11 5
7 0 16
7 1 12
7 2 14
7 3 26
7 4 17
7 5 5
7 6 8
7 8 27
7 9 28
7 10 8
7 11 22
8 0 8
8 1 13
8 2 10
8 3 26
8 4 14
8 5 9
8 6 9
8 7 20
8 9 6
8 10 13
8 11 16
9 0 19
9 1 6
9 2 23
9 3 16
9 4 16
9 5 14
9 6 17
9 7 11
9 8 30
9 10 24
9 11 25
10 0 22
10 1 29
10 2 28
10 3 10
10 4 21
10 5 26
10 6 15
10 7 30
10 8 11
10 9 21
10 11 12
11 0 13
11 1 20
11 2 17
11 3 8
11 4 13
11 5 18
11 6 12
11 7 10
11 8 8
11 9 29
11 10 5
