Nome da Unidade da Federação,Nome do Município,"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
Rondônia,Alta Floresta D'Oeste,734469.325,32619.88
Rondônia,Ariquemes,3209761.401,28878.27
Rondônia,Cabixi,238411.628,47051.83
Rondônia,Cacoal,2792382.761,32313.26
Rondônia,Cerejeiras,743037.376,46185.81
Rondônia,Colorado do Oeste,424806.604,27923.92
Rondônia,Corumbiara,396727.614,56257.46
Rondônia,Costa Marques,316670.546,16446.15
Rondônia,Espigão D'Oeste,773380.507,23429.38
Rondônia,Guajará-Mirim,1054178.548,22462.79
Rondônia,Jaru,1765088.789,34294.21
Rondônia,Ji-Paraná,4231113.134,32292.16
Rondônia,Machadinho D'Oeste,890320.395,21338.33
Rondônia,Nova Brasilândia D'Oeste,548734.372,26762.31
Rondônia,Ouro Preto do Oeste,985867.804,27814.02
Rondônia,Pimenta Bueno,1642516.481,44275.07
Rondônia,Porto Velho,20059521.856,36541.49
Rondônia,Presidente Médici,559989.525,30827.94
Rondônia,Rio Crespo,184430.169,47991.2
Rondônia,Rolim de Moura,1565193.978,28076.24
Rondônia,Santa Luzia D'Oeste,213556.003,35940.09
Rondônia,Vilhena,4215045.761,40328.81
Rondônia,São Miguel do Guaporé,905335.275,39112.42
Rondônia,Nova Mamoré,742687.06,23076.28
Rondônia,Alvorada D'Oeste,352628.346,25539.82
Rondônia,Alto Alegre dos Parecis,483671.84,36454.01
Rondônia,Alto Paraíso,510361.297,22929.34
Rondônia,Buritis,966552.082,23549.74
Rondônia,Novo Horizonte do Oeste,231501.787,28492.53
Rondônia,Cacaulândia,275337.641,43655.88
Rondônia,Campo Novo de Rondônia,369376.842,25667.21
Rondônia,Candeias do Jamari,655606.242,23357.78
Rondônia,Castanheiras,99626.808,34083.75
Rondônia,Chupinguaia,468792.653,39880.28
Rondônia,Cujubim,487480.169,17967.64
Rondônia,Governador Jorge Teixeira,239330.271,33566.66
Rondônia,Itapuã do Oeste,210030.622,19413.13
Rondônia,Ministro Andreazza,297878.173,31484.85
Rondônia,Mirante da Serra,262640.401,24566.5
Rondônia,Monte Negro,389890.801,24129.89
Rondônia,Nova União,157320.811,23060.8
Rondônia,Parecis,155434.257,24597.92
Rondônia,Pimenteiras do Oeste,246208.621,115753.94
Rondônia,Primavera de Rondônia,107029.666,39684.71
Rondônia,São Felipe D'Oeste,130675.805,26335.31
Rondônia,São Francisco do Guaporé,488042.888,23143.16
Rondônia,Seringueiras,332986.986,28109.66
Rondônia,Teixeirópolis,121300.639,29158.81
Rondônia,Theobroma,257425.794,24876.86
Rondônia,Urupá,273501.274,24682.0
Rondônia,Vale do Anari,220587.906,19106.79
Rondônia,Vale do Paraíso,185648.192,28605.27
Acre,Acrelândia,398724.884,25362.56
Acre,Assis Brasil,133916.175,17507.67
Acre,Brasiléia,685636.225,25278.78
Acre,Bujari,300830.265,28455.38
Acre,Capixaba,512352.894,41722.55
Acre,Cruzeiro do Sul,2058629.669,22934.82
Acre,Epitaciolândia,644541.502,33960.77
Acre,Feijó,567040.488,16207.64
Acre,Jordão,113975.208,13209.92
